VCD info: dumpfile sim/out/p1_top_tb.vcd opened for output.
t=1545000 instr=1 addr=0x00000080 wstrb=0x0 wdata=0x00000005 rdata=0x0305a283 trap=0
t=1565000 instr=0 addr=0x0000102c wstrb=0xf wdata=0x0000000f rdata=0x00000000 trap=0
t=1595000 instr=1 addr=0x00000084 wstrb=0x0 wdata=0x0000000f rdata=0x02552823 trap=0
t=1615000 instr=0 addr=0x00000530 wstrb=0x0 wdata=0x0000000f rdata=0x00000004 trap=0
t=1645000 instr=1 addr=0x00000088 wstrb=0x0 wdata=0x0000000f rdata=0x0345a283 trap=0
t=1665000 instr=0 addr=0x00001030 wstrb=0xf wdata=0x00000004 rdata=0x00000000 trap=0
t=1695000 instr=1 addr=0x0000008c wstrb=0x0 wdata=0x00000004 rdata=0x02552a23 trap=0
t=1715000 instr=0 addr=0x00000534 wstrb=0x0 wdata=0x00000004 rdata=0x0000000b trap=0
t=1745000 instr=1 addr=0x00000090 wstrb=0x0 wdata=0x00000004 rdata=0x0385a283 trap=0
t=1765000 instr=0 addr=0x00001034 wstrb=0xf wdata=0x0000000b rdata=0x00000000 trap=0
t=1795000 instr=1 addr=0x00000094 wstrb=0x0 wdata=0x0000000b rdata=0x02552c23 trap=0
t=1815000 instr=0 addr=0x00000538 wstrb=0x0 wdata=0x0000000b rdata=0x0000000a trap=0
t=1845000 instr=1 addr=0x00000098 wstrb=0x0 wdata=0x0000000b rdata=0x03c5a283 trap=0
t=1865000 instr=0 addr=0x00001038 wstrb=0xf wdata=0x0000000a rdata=0x00000000 trap=0
t=1895000 instr=1 addr=0x0000009c wstrb=0x0 wdata=0x0000000a rdata=0x02552e23 trap=0
t=1915000 instr=0 addr=0x0000053c wstrb=0x0 wdata=0x0000000a rdata=0x00000008 trap=0
t=1945000 instr=1 addr=0x000000a0 wstrb=0x0 wdata=0x0000000a rdata=0x0405a283 trap=0
t=1965000 instr=0 addr=0x0000103c wstrb=0xf wdata=0x00000008 rdata=0x00000000 trap=0
t=1995000 instr=1 addr=0x000000a4 wstrb=0x0 wdata=0x00000008 rdata=0x04552023 trap=0
t=2015000 instr=0 addr=0x00000540 wstrb=0x0 wdata=0x00000008 rdata=0x00000008 trap=0
t=2045000 instr=1 addr=0x000000a8 wstrb=0x0 wdata=0x00000008 rdata=0x0445a283 trap=0
t=2065000 instr=0 addr=0x00001040 wstrb=0xf wdata=0x00000008 rdata=0x00000000 trap=0
t=2095000 instr=1 addr=0x000000ac wstrb=0x0 wdata=0x00000008 rdata=0x04552223 trap=0
t=2115000 instr=0 addr=0x00000544 wstrb=0x0 wdata=0x00000008 rdata=0x0000000d trap=0
t=2145000 instr=1 addr=0x000000b0 wstrb=0x0 wdata=0x00000008 rdata=0x0485a283 trap=0
t=2165000 instr=0 addr=0x00001044 wstrb=0xf wdata=0x0000000d rdata=0x00000000 trap=0
t=2195000 instr=1 addr=0x000000b4 wstrb=0x0 wdata=0x0000000d rdata=0x04552423 trap=0
t=2215000 instr=0 addr=0x00000548 wstrb=0x0 wdata=0x0000000d rdata=0x00000005 trap=0
t=2245000 instr=1 addr=0x000000b8 wstrb=0x0 wdata=0x0000000d rdata=0x04c5a283 trap=0
t=2265000 instr=0 addr=0x00001048 wstrb=0xf wdata=0x00000005 rdata=0x00000000 trap=0
t=2295000 instr=1 addr=0x000000bc wstrb=0x0 wdata=0x00000005 rdata=0x04552623 trap=0
t=2315000 instr=0 addr=0x0000054c wstrb=0x0 wdata=0x00000005 rdata=0x00000004 trap=0
t=2345000 instr=1 addr=0x000000c0 wstrb=0x0 wdata=0x00000005 rdata=0x0505a283 trap=0
